exp,rho,sigma,seed,m,absorbed,cos_comp,rec,wall_s,n11,n10,n01,rho_count,rho_c,rho_x,rho_d,ties,lo_is_comp,m_n11,m_n10,m_n01,m_rho_count,m_rho_c,m_rho_x,m_rho_d,m_ties,m_lo_is_comp,rho_d_t002,rho_d_t010,a1,a0,g0,g1,b_p,b_c,n_j11,n_s11,delta_J,delta_S,q11_B,q10_B,q01_B,pi_B,h_B,b11_frac,rho_real,rho_d_auto,q,p0,cos_child
SC,0.5,0.05,61,32,1,0.9926,0.2273,443.8,11640,14503,11517,0.6149,0.6149,0.44262,0.49939,0,1,11640,14433,11499,0.61586,0.61586,0.44343,0.50008,0,1,0.49813,0.49999,1.0,0.23159,1.0,0.38799,0.00062,0.00016,7290,4350,0.0,0.0,0.0,0.00062,0.00016,nan,0.20455,0.0,0.50008,0.49939,,,
SC,0.5,0.05,62,32,0,0.9622,0.3461,443.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,0.5,0.05,63,32,1,0.9872,0.2311,443.8,14579,11107,12059,0.68051,0.70574,0.52055,0.50033,0,0,14579,11023,12002,0.68083,0.70687,0.52126,0.50069,0,0,0.49933,0.50061,1.0,0.41292,1.0,0.36255,0.00075,0.00051,6826,7753,0.0,0.0,0.0,0.00075,0.00051,nan,0.40426,0.0,0.50069,0.49967,,,
SC,0.5,0.1,40,32,1,0.9951,0.6095,443.8,18175,10522,14993,0.65683,0.75917,0.58762,0.49361,0,0,18173,6930,12135,0.67412,0.8139,0.63651,0.50236,0,0,0.49296,0.49829,1.0,0.62631,1.0,0.35083,0.03187,0.02536,6558,11615,0.0,0.00121,2e-05,0.03185,0.02535,0.5,0.44312,5e-05,0.50199,0.50639,,,
SC,0.5,0.1,41,32,1,0.9938,0.6123,443.8,22109,11402,12463,0.72891,0.75199,0.52223,0.48934,0,0,22099,6771,8770,0.767,0.82011,0.56431,0.49944,0,0,0.48736,0.49435,1.0,0.64072,1.0,0.53336,0.0413,0.03296,10024,12075,0.0,0.00041,9e-05,0.04122,0.03287,0.5,0.44372,0.00022,0.49931,0.51066,,,
SC,0.5,0.1,42,32,1,0.9915,0.608,443.8,19067,13220,11497,0.69806,0.69806,0.46515,0.5008,0,1,19066,10156,8228,0.72881,0.72881,0.44756,0.49821,0,1,0.50272,0.49859,1.0,0.45964,1.0,0.55894,0.02723,0.02905,10427,8639,0.0,0.00035,1e-05,0.02722,0.02904,0.0,0.5161,2e-05,0.49813,0.5008,,,
SC,0.5,0.1,43,32,1,0.9841,0.6101,443.8,19607,14368,10917,0.67994,0.67994,0.43176,0.50336,0,1,19604,11009,7056,0.70774,0.70774,0.39059,0.49733,0,1,0.50661,0.49901,1.0,0.41862,1.0,0.62334,0.02993,0.0344,11677,7927,0.0,0.00013,3e-05,0.0299,0.03437,0.66667,0.53482,7e-05,0.49731,0.50336,,,
SC,0.5,0.1,44,32,1,0.9881,0.6164,443.8,20841,12518,10613,0.71532,0.71532,0.45882,0.50121,0,1,20840,9324,7174,0.75028,0.75028,0.43484,0.49813,0,1,0.50248,0.49843,1.0,0.50251,1.0,0.61422,0.02836,0.03053,11422,9418,0.0,0.00032,1e-05,0.02835,0.03052,1.0,0.51854,2e-05,0.49804,0.50121,,,
SC,0.5,0.1,45,32,1,0.9951,0.6101,443.8,15706,13241,14119,0.67215,0.69254,0.51605,0.49956,0,0,15704,10354,11477,0.69423,0.72415,0.52572,0.50276,0,0,0.49978,0.50091,1.0,0.4453,1.0,0.39175,0.02569,0.02351,7392,8312,0.0,0.00024,2e-05,0.02567,0.02349,0.5,0.47785,5e-05,0.5027,0.50044,,,
SC,0.5,0.1,46,32,1,0.9927,0.6096,443.8,21588,10137,13429,0.7026,0.7755,0.56985,0.49767,0,0,21583,6293,9599,0.74386,0.83207,0.60401,0.49742,0,0,0.50087,0.49776,1.0,0.66596,1.0,0.48492,0.03421,0.03408,9037,12546,0.0,0.0004,4e-05,0.03416,0.03404,0.2,0.49889,0.00011,0.49729,0.50233,,,
