q,lam,eps,seed,phi_child,has_parent,loss,top_latents
0.2,0.05,0.0,0,45.423946380615234,1,0.15180976688861847,"[[0.9981858134269714, 45.423946380615234], [0.9972124695777893, -0.35809433460235596]]"
0.2,0.05,0.0,1,44.831825256347656,1,0.14995597302913666,"[[0.9992244839668274, 44.831825256347656], [0.998556911945343, 0.14058902859687805]]"
0.2,0.05,0.0,2,45.7429313659668,1,0.14908184111118317,"[[0.9987572431564331, 45.7429313659668], [0.9983900785446167, -0.6222790479660034]]"
0.2,0.05,0.005,0,74.11993408203125,1,0.15617842972278595,"[[0.9983678460121155, 74.11993408203125], [0.995922863483429, 0.010142777115106583]]"
0.2,0.05,0.005,1,45.167335510253906,1,0.1527523547410965,"[[0.9992448091506958, 45.167335510253906], [0.9985650181770325, 0.055404048413038254]]"
0.2,0.05,0.005,2,65.3990707397461,1,0.15226531028747559,"[[0.9989383816719055, 65.3990707397461], [0.9975834488868713, -0.1759275645017624]]"
0.2,0.05,0.01,0,78.39505004882812,1,0.15699192881584167,"[[0.9984105825424194, 78.39505004882812], [0.9952754974365234, 0.11790362000465393]]"
0.2,0.05,0.01,1,69.00653076171875,1,0.15518809854984283,"[[0.997998833656311, 69.00653076171875], [0.9959092140197754, 1.2815639972686768]]"
0.2,0.05,0.01,2,74.8998794555664,1,0.15428631007671356,"[[0.9971607327461243, 74.8998794555664], [0.9965908527374268, 0.17585605382919312]]"
0.2,0.05,0.02,0,82.50031280517578,1,0.15806354582309723,"[[0.9981564283370972, 82.50031280517578], [0.9947034120559692, 0.30503326654434204]]"
0.2,0.05,0.02,1,80.81214141845703,1,0.15699107944965363,"[[0.996199369430542, 80.81214141845703], [0.995143473148346, 1.9331023693084717]]"
0.2,0.05,0.02,2,79.84461975097656,1,0.1554536670446396,"[[0.9960169792175293, 0.40272343158721924], [0.9958038330078125, 79.84461975097656]]"
0.2,0.05,0.03,0,84.40418243408203,1,0.15904122591018677,"[[0.997983455657959, 84.40418243408203], [0.9945781230926514, 0.40756869316101074]]"
0.2,0.05,0.03,1,84.07068634033203,1,0.158270463347435,"[[0.995960533618927, 84.07068634033203], [0.9953045845031738, 2.128026247024536]]"
0.2,0.05,0.03,2,82.44535064697266,1,0.15640904009342194,"[[0.9959577918052673, 0.5091546177864075], [0.9954445362091064, 82.44535064697266]]"
0.2,0.05,0.05,0,86.32196807861328,1,0.16046032309532166,"[[0.9978991150856018, 86.32196807861328], [0.994716465473175, 0.5175052881240845]]"
0.2,0.05,0.05,1,86.77127075195312,1,0.15940049290657043,"[[0.9962254166603088, 86.77127075195312], [0.9958217144012451, 2.244364023208618]]"
0.2,0.05,0.05,2,85.17451477050781,1,0.1579572856426239,"[[0.9961680769920349, 0.5522734522819519], [0.9955115914344788, 85.17451477050781]]"
0.2,0.05,0.08,0,87.57589721679688,1,0.16205182671546936,"[[0.9979878067970276, 87.57589721679688], [0.9951267838478088, 0.5742895007133484]]"
0.2,0.05,0.08,1,88.23992156982422,1,0.16110312938690186,"[[0.9967132806777954, 88.23992156982422], [0.9964103698730469, 2.271895408630371]]"
0.2,0.05,0.08,2,87.02532196044922,1,0.1598348766565323,"[[0.9965463876724243, 0.5174400210380554], [0.9959080219268799, 87.02532196044922]]"
