q,lam,eps_star,eps,seed,phi_func,rho_func,act_child,phi_maxangle,has_parent,rec
0.1,0.2,0.024275510464376558,0.0,0,45.87122344970703,0.9814012050628662,1.1732568740844727,45.87122344970703,1,0.09992441534996033
0.1,0.2,0.024275510464376558,0.0,1,44.65791702270508,0.9909762144088745,1.220827579498291,44.65791702270508,1,0.08868969976902008
0.1,0.2,0.024275510464376558,0.0,2,46.77517318725586,0.989620566368103,1.242939829826355,46.77517318725586,1,0.09174734354019165
0.1,0.2,0.024275510464376558,0.0,3,44.6893196105957,0.9936084151268005,1.242374300956726,44.6893196105957,1,0.0921485424041748
0.1,0.2,0.024275510464376558,0.0,4,44.82490921020508,0.977344810962677,1.2269014120101929,44.82490921020508,1,0.09314656257629395
0.1,0.2,0.024275510464376558,0.0,5,44.79646301269531,0.9872916340827942,1.2984148263931274,44.79646301269531,1,0.09056498110294342
0.1,0.2,0.024275510464376558,0.0,6,46.079811096191406,0.990726113319397,1.2588820457458496,46.079811096191406,1,0.16086648404598236
0.1,0.2,0.024275510464376558,0.0,7,44.985260009765625,0.9839085936546326,1.1990697383880615,44.985260009765625,1,0.09696531295776367
0.1,0.2,0.024275510464376558,0.0,8,47.08641815185547,0.9939664006233215,1.1816755533218384,47.08641815185547,1,0.09096478670835495
0.1,0.2,0.024275510464376558,0.0,9,47.019168853759766,0.9871958494186401,1.1526247262954712,47.019168853759766,1,0.16131332516670227
0.1,0.2,0.024275510464376558,0.0,10,48.11448669433594,0.9890577793121338,1.0478744506835938,48.11448669433594,1,0.16090956330299377
0.1,0.2,0.024275510464376558,0.0,11,46.2299919128418,0.9928490519523621,1.3020663261413574,46.2299919128418,1,0.08474326133728027
0.1,0.2,0.024275510464376558,0.0,12,47.314788818359375,0.9865214824676514,1.1758631467819214,47.314788818359375,1,0.09528878331184387
0.1,0.2,0.024275510464376558,0.0,13,45.85382843017578,0.9887405037879944,1.1809473037719727,45.85382843017578,1,0.09148082882165909
0.1,0.2,0.024275510464376558,0.0,14,43.71921920776367,0.9928575754165649,1.2962933778762817,43.71921920776367,1,0.08449413627386093
0.1,0.2,0.024275510464376558,0.0,15,45.80006408691406,0.9954569935798645,1.1230192184448242,45.80006408691406,1,0.09371547400951385
0.1,0.2,0.024275510464376558,0.0060688776160941395,0,46.73442840576172,0.9814479947090149,0.6144071221351624,46.73442840576172,1,0.1045985221862793
0.1,0.2,0.024275510464376558,0.0060688776160941395,1,45.28532791137695,0.9906100630760193,0.6045653223991394,45.28532791137695,1,0.09243803471326828
0.1,0.2,0.024275510464376558,0.0060688776160941395,2,48.8636589050293,0.9896374940872192,0.6347305178642273,48.8636589050293,1,0.09504961967468262
0.1,0.2,0.024275510464376558,0.0060688776160941395,3,45.38346862792969,0.9934124946594238,0.6071590781211853,45.38346862792969,1,0.09197965264320374
0.1,0.2,0.024275510464376558,0.0060688776160941395,4,45.73539352416992,0.9772050976753235,0.5973738431930542,45.73539352416992,1,0.09678951650857925
0.1,0.2,0.024275510464376558,0.0060688776160941395,5,45.673282623291016,0.9875428080558777,0.6053312420845032,45.673282623291016,1,0.0982988029718399
0.1,0.2,0.024275510464376558,0.0060688776160941395,6,46.84046173095703,0.9910901188850403,0.6225212216377258,46.84046173095703,1,0.16457292437553406
0.1,0.2,0.024275510464376558,0.0060688776160941395,7,45.83991241455078,0.9835450649261475,0.6043683886528015,45.83991241455078,1,0.10060058534145355
0.1,0.2,0.024275510464376558,0.0060688776160941395,8,48.368160247802734,0.9942414164543152,0.6350467801094055,48.368160247802734,1,0.09616483747959137
0.1,0.2,0.024275510464376558,0.0060688776160941395,9,54.133033752441406,0.9874541759490967,0.6767468452453613,54.133033752441406,1,0.09787365049123764
0.1,0.2,0.024275510464376558,0.0060688776160941395,10,54.74886703491211,0.9911003708839417,0.6973052024841309,54.74886703491211,1,0.09571653604507446
0.1,0.2,0.024275510464376558,0.0060688776160941395,11,47.13776397705078,0.9932447671890259,0.6275050640106201,47.13776397705078,1,0.1556425541639328
0.1,0.2,0.024275510464376558,0.0060688776160941395,12,50.1782112121582,0.9880936741828918,0.6476104855537415,50.1782112121582,1,0.09807457029819489
0.1,0.2,0.024275510464376558,0.0060688776160941395,13,46.29228210449219,0.9889736771583557,0.615756630897522,46.29228210449219,1,0.09282639622688293
0.1,0.2,0.024275510464376558,0.0060688776160941395,14,44.45815658569336,0.9925115704536438,0.5954365730285645,44.45815658569336,1,0.08974047005176544
0.1,0.2,0.024275510464376558,0.0060688776160941395,15,46.93565368652344,0.9951510429382324,0.6214954853057861,46.93565368652344,1,0.09816145896911621
0.1,0.2,0.024275510464376558,0.007481995981074599,0,47.308982849121094,0.9826196432113647,0.6227414608001709,47.308982849121094,1,0.2336249053478241
0.1,0.2,0.024275510464376558,0.007481995981074599,1,45.6034049987793,0.9905360341072083,0.6069648861885071,45.6034049987793,1,0.09135303646326065
0.1,0.2,0.024275510464376558,0.007481995981074599,2,47.990543365478516,0.9904741644859314,0.626832127571106,47.990543365478516,1,0.09526823461055756
0.1,0.2,0.024275510464376558,0.007481995981074599,3,45.415706634521484,0.993306040763855,0.610093355178833,45.415706634521484,1,0.09514535963535309
0.1,0.2,0.024275510464376558,0.007481995981074599,4,46.1403694152832,0.9772810339927673,0.6022772789001465,46.1403694152832,1,0.09390568733215332
0.1,0.2,0.024275510464376558,0.007481995981074599,5,45.95781326293945,0.9872791767120361,0.6098220348358154,45.95781326293945,1,0.09464092552661896
0.1,0.2,0.024275510464376558,0.007481995981074599,6,47.03144073486328,0.9904949069023132,0.6249353885650635,47.03144073486328,1,0.09250716120004654
0.1,0.2,0.024275510464376558,0.007481995981074599,7,46.47886276245117,0.9833598732948303,0.6038638353347778,46.47886276245117,1,0.10329270362854004
0.1,0.2,0.024275510464376558,0.007481995981074599,8,48.554161071777344,0.9944231510162354,0.6369374394416809,48.554161071777344,1,0.09183561056852341
0.1,0.2,0.024275510464376558,0.007481995981074599,9,68.07781982421875,0.987643837928772,0.8104419112205505,68.07781982421875,1,0.15600773692131042
0.1,0.2,0.024275510464376558,0.007481995981074599,10,51.216243743896484,0.9908217191696167,0.6587522625923157,51.216243743896484,1,0.15362247824668884
0.1,0.2,0.024275510464376558,0.007481995981074599,11,49.05018997192383,0.9937734007835388,0.6412801742553711,49.05018997192383,1,0.1606200933456421
0.1,0.2,0.024275510464376558,0.007481995981074599,12,66.42668914794922,0.990073561668396,0.7988535761833191,66.42668914794922,1,0.10023674368858337
