n,k,cond,seed,mmcs,frac_recovered,rec
128,2,random,0,0.8047448992729187,0.21875,0.7221156358718872
128,2,random,1,0.7674164772033691,0.1171875,0.8615126609802246
128,2,random,2,0.8053367137908936,0.2421875,0.709056556224823
128,2,random,3,0.7686641812324524,0.15625,0.8487591743469238
128,2,reinit,0,0.9941261410713196,0.96875,0.039608798921108246
128,2,reinit,1,0.993827760219574,0.96875,0.0374455526471138
128,2,reinit,2,0.9881516695022583,0.9375,0.05885377526283264
128,2,reinit,3,0.9910072088241577,0.953125,0.045748792588710785
128,2,oracle,0,0.9999712705612183,1.0,0.017398696392774582
128,2,oracle,1,0.9999961256980896,1.0,0.017660994082689285
128,2,oracle,2,0.9999850988388062,1.0,0.015293633565306664
128,2,oracle,3,0.9999964833259583,1.0,0.016305051743984222
128,4,random,0,0.8359997868537903,0.28125,1.1837643384933472
128,4,random,1,0.8114262819290161,0.1953125,1.370152235031128
128,4,random,2,0.819778323173523,0.234375,1.3228375911712646
128,4,random,3,0.8538969159126282,0.3125,1.1184251308441162
128,4,reinit,0,0.9912813305854797,0.953125,0.190291166305542
128,4,reinit,1,0.9897864460945129,0.953125,0.2148161232471466
128,4,reinit,2,0.9952763319015503,0.96875,0.1596577763557434
128,4,reinit,3,0.9875671863555908,0.9375,0.22440414130687714
128,4,oracle,0,0.9999352693557739,1.0,0.12739220261573792
128,4,oracle,1,0.9999432563781738,1.0,0.12799617648124695
128,4,oracle,2,0.9999442100524902,1.0,0.1299477517604828
128,4,oracle,3,0.9999399185180664,1.0,0.12646526098251343
128,8,random,0,0.866748571395874,0.5,1.8568077087402344
128,8,random,1,0.8121735453605652,0.328125,2.2493011951446533
128,8,random,2,0.8195613622665405,0.390625,2.1683788299560547
128,8,random,3,0.8415701389312744,0.4140625,2.055191993713379
128,8,reinit,0,0.9909806251525879,0.953125,0.8405453562736511
128,8,reinit,1,0.9929983615875244,0.96875,0.8267225027084351
128,8,reinit,2,0.9935736656188965,0.9765625,0.8277688026428223
128,8,reinit,3,0.9964207410812378,0.984375,0.7756012082099915
128,8,oracle,0,0.9992257356643677,1.0,0.7641363143920898
128,8,oracle,1,0.9992234110832214,1.0,0.7793610095977783
128,8,oracle,2,0.9991815090179443,1.0,0.7728971242904663
128,8,oracle,3,0.9992125034332275,1.0,0.7553138732910156
128,16,random,0,0.713483452796936,0.203125,2.8144421577453613
128,16,random,1,0.6805689930915833,0.171875,2.958282470703125
128,16,random,2,0.6892750263214111,0.140625,2.9448609352111816
128,16,random,3,0.7010619044303894,0.1640625,2.915468692779541
128,16,reinit,0,0.83448326587677,0.5625,2.49079966545105
128,16,reinit,1,0.8250705599784851,0.5390625,2.5598819255828857
128,16,reinit,2,0.8812216520309448,0.6953125,2.473083972930908
128,16,reinit,3,0.8466297388076782,0.59375,2.5305416584014893
128,16,oracle,0,0.9926019310951233,1.0,2.1303601264953613
128,16,oracle,1,0.9925873875617981,1.0,2.1584744453430176
128,16,oracle,2,0.9924443960189819,1.0,2.158905029296875
128,16,oracle,3,0.9926612377166748,1.0,2.1453216075897217
128,24,random,0,0.5616908669471741,0.0078125,2.420880079269409
128,24,random,1,0.561841607093811,0.0390625,2.693258285522461
128,24,random,2,0.5751818418502808,0.0078125,2.681140661239624
128,24,random,3,0.5643991231918335,0.0,2.6853346824645996
128,24,reinit,0,0.5502853393554688,0.03125,2.238335609436035
128,24,reinit,1,0.5446727275848389,0.03125,2.2844672203063965
128,24,reinit,2,0.5536531805992126,0.0234375,2.291670799255371
128,24,reinit,3,0.5284507870674133,0.0234375,2.2809348106384277
128,24,oracle,0,0.6747640371322632,0.0390625,2.1539316177368164
128,24,oracle,1,0.6666840314865112,0.0390625,2.1755621433258057
128,24,oracle,2,0.683791995048523,0.03125,2.238663911819458
128,24,oracle,3,0.6718235015869141,0.03125,2.192897081375122
128,32,random,0,0.47935032844543457,0.0,1.887686014175415
128,32,random,1,0.5574636459350586,0.0,2.331508159637451
128,32,random,2,0.544380247592926,0.0,2.309018135070801
128,32,random,3,0.5195244550704956,0.0,2.0983123779296875
128,32,reinit,0,0.4418295919895172,0.0,1.476623773574829
128,32,reinit,1,0.4587520956993103,0.0,1.577279806137085
128,32,reinit,2,0.44774699211120605,0.0,1.5681707859039307
