weighted,eps,seed,phi_func,rho_func,act_child,inv
0,0.002,5,44.9,0.985,0.595,"[[0.985, 44.9], [0.982, 1.3]]"
0,0.002,6,46.1,0.989,0.611,"[[0.989, 46.1], [0.971, -0.1]]"
0,0.002,7,45.3,0.982,0.597,"[[0.985, -1.4], [0.982, 45.3]]"
0,0.005,0,46.1,0.978,0.605,"[[0.978, 46.1], [0.974, -0.9]]"
0,0.005,1,44.9,0.989,0.598,"[[0.989, 44.9], [0.976, 0.4]]"
0,0.005,2,47.6,0.987,0.624,"[[0.987, 47.6], [0.983, -1.6]]"
0,0.005,3,44.8,0.992,0.6,"[[0.992, 44.8], [0.984, -1.4]]"
0,0.005,4,45.1,0.977,0.592,"[[0.983, -1.1], [0.977, 45.1]]"
0,0.005,5,45.0,0.985,0.596,"[[0.985, 45.0], [0.982, 1.4]]"
0,0.005,6,46.3,0.989,0.615,"[[0.989, 46.3], [0.971, -0.2]]"
0,0.005,7,45.3,0.982,0.598,"[[0.985, -1.6], [0.982, 45.3]]"
0,0.01,0,46.7,0.98,0.616,"[[0.98, 46.7], [0.974, -1.1]]"
0,0.01,1,45.3,0.989,0.603,"[[0.989, 45.3], [0.975, 0.4]]"
0,0.01,2,48.7,0.987,0.63,"[[0.987, 48.7], [0.983, -1.6]]"
0,0.01,3,45.3,0.992,0.605,"[[0.992, 45.3], [0.985, -1.4]]"
0,0.01,4,45.4,0.976,0.595,"[[0.983, -1.3], [0.976, 45.4]]"
0,0.01,5,45.1,0.985,0.598,"[[0.985, 45.1], [0.981, 1.2]]"
0,0.01,6,46.6,0.989,0.619,"[[0.989, 46.6], [0.971, -0.3]]"
0,0.01,7,45.7,0.982,0.603,"[[0.985, -1.7], [0.982, 45.7]]"
0,0.02,0,47.3,0.978,0.616,"[[0.978, 47.3], [0.974, -1.2]]"
0,0.02,1,45.8,0.988,0.606,"[[0.988, 45.8], [0.976, 0.1]]"
0,0.02,2,68.1,0.986,0.802,"[[0.986, 68.1], [0.973, 0.3]]"
0,0.02,3,45.6,0.992,0.61,"[[0.992, 45.6], [0.985, -1.7]]"
0,0.02,4,45.5,0.977,0.597,"[[0.983, -2.4], [0.977, 45.5]]"
0,0.02,5,45.8,0.984,0.605,"[[0.984, 45.8], [0.982, 0.9]]"
0,0.02,6,47.2,0.989,0.625,"[[0.989, 47.2], [0.971, -0.6]]"
0,0.02,7,72.9,0.974,0.824,"[[0.977, -0.3], [0.974, 72.9]]"
