block,m_children,rho1,rho2,rho3,sigma,m_lat,seed,absorbed,cos_comp,cos_parent,cos_child,comp_idx,parent_idx,rec,comp_fire_rate,rho_hat_gmm,gmm_mu_lo,gmm_mu_hi,gmm_w_hi,n_fire,rho_hat_bin,fire|host_only,fire|joint,act|host_only,act|joint,tv_full,tv_null,tv_inplane,tv_inplane_null,tv_cond,h4_mus,h4_ws
R,1,0.05,0,0,0.0,32,8,0,0.7219,0.9783,0.233,21,21,0.0961,0.25013,0.25182,0.8583,0.8751,0.25182,50027,1.0,1.0,1.0,0.8604,0.9029,0.2622,0.26131,0.00081,0.00038,0.3712,,
R,1,0.05,0,0,0.0,32,9,1,0.9898,0.9883,0.7152,22,17,0.0894,0.15905,0.08048,0.0298,1.2762,0.08048,31810,0.16405,0.6156,1.0,0.0298,1.2762,0.28745,0.26393,0.04697,0.0027,1.0,,
R,1,0.05,0,0,0.0,32,10,0,0.9764,0.9758,0.7904,5,24,0.0902,0.19849,0.06335,0.0407,1.1641,0.06335,39698,0.26871,0.784,1.0,0.0407,1.1641,0.28203,0.26399,0.03527,0.00244,0.87436,,
R,1,0.05,0,0,0.0,32,11,0,0.7427,0.9814,0.0689,21,21,0.0919,0.25132,0.08503,0.8648,0.8816,0.08503,50264,1.0,1.0,1.0,0.8627,0.9339,0.25967,0.26025,9e-05,0.00011,0.37217,,
R,1,0.05,0,0,0.0,32,12,1,0.9899,0.9827,0.7237,19,14,0.091,0.06621,0.1847,0.0135,1.2815,0.1847,13243,0.05112,0.2279,1.0,0.0135,1.2815,0.28525,0.26409,0.045,0.00057,1.0,,
R,1,0.05,0,0,0.0,32,13,1,0.9934,0.9835,0.7118,18,28,0.0881,0.0128,0.99414,0.0052,1.2846,0.99414,2559,0.05099,0.0003,1.0,0.0052,1.2846,0.28459,0.26268,0.04557,0.0028,1.0,,
R,1,0.05,0,0,0.0,32,14,0,0.7418,0.9874,0.1533,7,7,0.0883,0.25102,0.27351,0.8713,0.8791,0.27351,50204,1.0,1.0,1.0,0.8704,0.9322,0.26194,0.26341,0.00125,0.00181,0.37306,,
R,1,0.05,0,0,0.0,32,15,1,0.9972,0.9773,0.7245,29,26,0.0955,0.13758,0.09315,0.019,1.2857,0.09315,27516,0.08265,0.5241,1.0,0.019,1.2857,0.28668,0.26512,0.04692,0.00177,0.99941,,
R,1,0.1,0,0,0.0,32,0,1,0.9848,0.9754,0.7087,24,14,0.0966,0.04482,0.55984,0.011,1.2775,0.55984,8965,0.10091,0.0877,1.0,0.011,1.2775,0.28421,0.26385,0.04417,0.00091,1.0,,
R,1,0.1,0,0,0.0,32,1,1,0.9942,0.9768,0.7032,3,10,0.0854,0.02566,0.99703,0.4092,1.2934,0.99703,5132,0.10246,0.0002,1.0,0.0078,1.2933,0.28522,0.26327,0.04527,0.00109,1.0,,
R,1,0.1,0,0,0.0,32,2,0,0.7652,0.98,0.1022,22,22,0.11,0.24964,0.3552,0.8586,0.882,0.3552,49928,1.0,1.0,1.0,0.8565,0.9585,0.26204,0.26096,0.00081,0.00247,0.37158,,
R,1,0.1,0,0,0.0,32,3,1,0.9954,0.9837,0.7026,20,29,0.0906,0.04124,0.60992,0.0136,1.2865,0.60992,8247,0.10056,0.0711,1.0,0.0136,1.2865,0.2829,0.26482,0.04544,0.00096,1.0,,
