gamma,eps,seed,child_latent_angle_deg,top_1_rho,top_1_phi_deg,top_2_rho,top_2_phi_deg,top_3_rho,top_3_phi_deg,top_4_rho,top_4_phi_deg,top_5_rho,top_5_phi_deg
0.0,0.005,0,46.65605163574219,0.9908098578453064,46.65605163574219,0.981777548789978,-1.9022232294082642,0.0780547559261322,41.68535232543945,0.0665072575211525,170.35574340820312,0.06494704633951187,-3.658729076385498
0.0,0.005,1,46.591651916503906,0.9907578825950623,46.591644287109375,0.9820968508720398,-1.8494131565093994,0.08158499747514725,41.191226959228516,0.06738299131393433,168.0926055908203,0.06619178503751755,-1.6462633609771729
0.0,0.005,2,46.61488342285156,0.9908449649810791,46.61488342285156,0.981807291507721,-1.8174747228622437,0.07712683826684952,40.99068069458008,0.06762462854385376,170.8377227783203,0.06747689098119736,-3.935432195663452
0.0,0.005,3,46.60334014892578,0.9910488128662109,46.603336334228516,0.9820635318756104,-1.8518768548965454,0.07687482982873917,41.7226448059082,0.06776624917984009,-3.558633804321289,0.06661432236433029,168.77291870117188
0.0,0.005,4,46.616302490234375,0.9917845726013184,46.61629867553711,0.9820567965507507,-1.854435682296753,0.07318929582834244,41.217742919921875,0.06507309526205063,171.76296997070312,0.06174193695187569,-4.171192646026611
0.0,0.005,5,46.51271438598633,0.9911394119262695,46.51271438598633,0.9821082353591919,-1.8821754455566406,0.07787442952394485,41.204505920410156,0.06694536656141281,-3.6788578033447266,0.06663843244314194,169.11917114257812
0.0,0.005,6,46.57765579223633,0.9910229444503784,46.57765579223633,0.9820435643196106,-2.0297317504882812,0.07750196754932404,43.85411071777344,0.0705670639872551,-3.1540656089782715,0.06669192761182785,170.42813110351562
0.0,0.005,7,46.60222625732422,0.990807831287384,46.60222244262695,0.981865406036377,-1.8398795127868652,0.07799676805734634,41.35258102416992,0.06986656039953232,-3.5698740482330322,0.06461542099714279,168.70196533203125
0.0,0.01,0,46.993961334228516,0.991254985332489,46.99395751953125,0.9821387529373169,-2.153522491455078,0.07931895554065704,43.0560417175293,0.068354032933712,168.02256774902344,0.06722880154848099,-2.151179075241089
0.0,0.01,1,46.95166778564453,0.9907724261283875,46.95166778564453,0.9816540479660034,-2.172940731048584,0.0809016078710556,43.055850982666016,0.06837116181850433,-1.6637029647827148,0.06508301198482513,169.14073181152344
0.0,0.01,2,47.08826446533203,0.990884006023407,47.08826446533203,0.9820510149002075,-1.936735987663269,0.07838146388530731,40.88237762451172,0.06512299180030823,168.0883026123047,0.06397921591997147,-2.230193614959717
0.0,0.01,3,47.01749801635742,0.9906866550445557,47.01749801635742,0.9820014834403992,-2.0929043292999268,0.07879156619310379,40.57062911987305,0.0684802383184433,169.72584533691406,0.06634064763784409,-2.2529497146606445
0.0,0.01,4,47.079002380371094,0.9908159375190735,47.079002380371094,0.9818284511566162,-2.0926477909088135,0.07852544635534286,42.20246124267578,0.06801441311836243,-3.069289445877075,0.0677790492773056,168.247314453125
0.0,0.01,5,47.12704849243164,0.9909408688545227,47.12704849243164,0.9819062948226929,-1.9644593000411987,0.07581398636102676,41.764305114746094,0.06704304367303848,169.82460021972656,0.06551732867956161,-3.863772392272949
0.0,0.01,6,46.8975715637207,0.9909769296646118,46.89757537841797,0.9833359718322754,-2.1043169498443604,0.06950729340314865,-0.8739790916442871,0.06863638013601303,168.85035705566406,0.06794119626283646,36.785552978515625
0.0,0.01,7,47.03194046020508,0.991018533706665,47.03194046020508,0.9818047881126404,-2.015141487121582,0.07796768099069595,41.938201904296875,0.06907574087381363,-3.1201090812683105,0.06630255281925201,169.74319458007812
0.0,0.02,0,62.36715316772461,0.9909456372261047,62.36715316772461,0.9780455231666565,-0.9887861013412476,0.07677467912435532,-8.270099639892578,0.07468849420547485,42.76762771606445,0.07360773533582687,168.1381072998047
0.0,0.02,1,68.20005798339844,0.9891761541366577,68.20005798339844,0.9755381941795349,-0.3548801839351654,0.08083341270685196,39.773014068603516,0.0796055942773819,-7.931831359863281,0.06888114660978317,169.29200744628906
0.0,0.02,2,67.67967224121094,0.9889928698539734,67.67967224121094,0.9759475588798523,-0.21218518912792206,0.07774597406387329,43.84275436401367,0.07383352518081665,-9.031938552856445,0.07019657641649246,169.46861267089844
0.0,0.02,3,46.105899810791016,0.9936723709106445,91.87911224365234,0.9910864233970642,46.105899810791016,0.983472466468811,-1.584119200706482,0.07478367537260056,38.173831939697266,0.06474132835865021,-1.4587993621826172
